Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
04-AUG-2020,11113.65,11258.85,11074.05,11244.1,804498496,41798.68
05-AUG-2020,11304.4,11368.4,11213.25,11248.4,868007162,42522.48
06-AUG-2020,11329.5,11396.15,11278.15,11345.45,825662871,40700.82
07-AUG-2020,11337.2,11377.15,11297.15,11361.4,680924527,36014.79
10-AUG-2020,11426.3,11491.95,11401.55,11433,746983109,40147.01
11-AUG-2020,11486.15,11531.5,11455.95,11471.25,858386306,39295.66
12-AUG-2020,11441.05,11470.9,11389.7,11458.25,954983974,38301.77
13-AUG-2020,11488.1,11512.65,11429.25,11458.9,814730858,36613.69
14-AUG-2020,11511.4,11525.95,11269.4,11337.55,913132359,42877.5
17-AUG-2020,11411.2,11422.7,11296.85,11402.85,832239668,34241.5
18-AUG-2020,11419.2,11556.85,11412.85,11541.95,815036837,35861.97
19-AUG-2020,11608.9,11618.55,11550.95,11564.5,870414477,35223.96
20-AUG-2020,11478.5,11524.65,11451.5,11479,1061535618,34934.05
21-AUG-2020,11581.25,11589.25,11526.05,11535.8,906275671,34000.12
24-AUG-2020,11579.95,11648.5,11578.5,11619.15,747901386,35185.82
25-AUG-2020,11668.95,11681.55,11575.65,11625.6,835414982,35521.81
26-AUG-2020,11668.6,11705.6,11611.45,11694.35,913698261,40845.02
27-AUG-2020,11755.4,11762.25,11692.65,11709.45,1019748805,40459.2
28-AUG-2020,11755.6,11830.7,11743.25,11791.5,1242901428,48776.4
31-AUG-2020,11913.55,11927.2,11438.75,11496.05,1749528540,72884.59
01-SEP-2020,11570.15,11651.65,11477.85,11586.6,1031875168,44305.26
02-SEP-2020,11598.4,11681.4,11554.65,11660.6,792559954,34401.76
03-SEP-2020,11694.5,11714.65,11643.85,11663.35,756153040,33133.08
04-SEP-2020,11491.15,11589.85,11436.95,11464.95,874262419,38749.87
07-SEP-2020,11493.25,11509.95,11380.45,11478.4,709029632,31191.09
08-SEP-2020,11502.9,11556.45,11407.45,11434.9,723008019,34424.4
09-SEP-2020,11338.7,11418.45,11299.6,11397.95,897414151,38916.21
10-SEP-2020,11481.3,11577.1,11453.05,11562.65,825431885,44886.91
11-SEP-2020,11562.45,11609.4,11538.8,11589.65,696962368,35443.49
14-SEP-2020,11665.65,11690,11512.05,11566.45,802126364,40359.63
15-SEP-2020,11613.7,11666.3,11580.05,11652.85,670346837,35205.63
16-SEP-2020,11673.4,11743.85,11653.9,11732.7,729509772,34807.6
17-SEP-2020,11671.25,11718.3,11629.2,11646.15,664077965,35481.54
18-SEP-2020,11713.55,11716.2,11581.65,11640.2,1005722849,60102.7
21-SEP-2020,11642,11661.45,11332.5,11367.25,795322439,44290.99
22-SEP-2020,11411.05,11411.45,11177.05,11264.55,868986867,42999.26
23-SEP-2020,11366.85,11369.4,11135.75,11241.6,910056854,41797.23
24-SEP-2020,11122.55,11127.65,10906.7,10922.25,922902558,42522.17
25-SEP-2020,11029.5,11198.1,10974.9,11176.3,756633008,37121.19
28-SEP-2020,11270.55,11375.45,11233.55,11365.25,623662120,29597.8
29-SEP-2020,11429.4,11449.45,11314.45,11353.65,685046809,33015.47
30-SEP-2020,11380.2,11431.65,11320,11385.2,690244326,34516.14
01-OCT-2020,11499.65,11557.4,11484.25,11545.9,640143018,31478.81
05-OCT-2020,11616.6,11693.3,11574.5,11625.6,699911432,36707.18
06-OCT-2020,11722.5,11787.2,11688.05,11770.75,736680622,36210.06
07-OCT-2020,11787.45,11857.4,11741.35,11833.9,684365686,38608.11
08-OCT-2020,11926.1,11986.95,11876.6,11925.4,808567864,44699.47
09-OCT-2020,11944.5,12014.95,11897.4,11990.7,827498785,41369.63
12-OCT-2020,12047.05,12088.9,11936.9,11999.05,711357331,32117.11
13-OCT-2020,12000.55,12056.35,11959.5,11995.7,629775818,36152.51
14-OCT-2020,11980.6,12064,11893.45,12039.05,767926416,37167.7
15-OCT-2020,12089.55,12091.05,11738.7,11758.2,791428317,41312.48
16-OCT-2020,11804.25,11867.2,11744.1,11843.35,716895894,36140.71
19-OCT-2020,11953.75,11970.45,11896.1,11952.9,726821093,35850.29
20-OCT-2020,11941.65,12023.3,11919,11976.85,643639359,34828.02
21-OCT-2020,12036.8,12092.05,11851.9,12009,820394742,43852.9
22-OCT-2020,11965.85,12009.7,11899.1,11971.8,733945468,39703.88
23-OCT-2020,12029.4,12045.35,11985.15,12006.1,687236336,34084.62
26-OCT-2020,12017.75,12022.1,11788.7,11842.7,706561684,35029.86
27-OCT-2020,11880.3,11981.7,11800.2,11971.9,816605902,45380.87
28-OCT-2020,12006.5,12012.2,11778.4,11819.05,879800110,42646.97
29-OCT-2020,11723.25,11838.2,11700.05,11774.4,749082716,36797.43
30-OCT-2020,11784.85,11855.9,11646.9,11748.95,785993622,35300.84
02-NOV-2020,11803.05,11830.65,11675.25,11777.85,823729504,41773.08
03-NOV-2020,11843.65,11937.2,11834.2,11913.35,953802242,44926.34
04-NOV-2020,11890.9,12026.15,11860.75,12007.1,863156499,44335.85
05-NOV-2020,12150.35,12225.9,12127.45,12217.9,899249402,40735.01
06-NOV-2020,12252.45,12364.9,12232.35,12349.15,804054661,42519.32
09-NOV-2020,12482.95,12557.6,12448.95,12545.45,800136997,41978.86
10-NOV-2020,12639.5,12695.25,12556.25,12683.35,1139971706,60915.72
11-NOV-2020,12733.3,12824,12634.5,12805.6,1164551800,64033
12-NOV-2020,12766.75,12805.7,12699.9,12764.05,844441019,45480.6
13-NOV-2020,12735.6,12815.55,12691.9,12804.25,716108427,41532.37
14-NOV-2020,12906.3,12911.4,12833.55,12864.6,137370936,6119.02
17-NOV-2020,13007.45,13008.35,12884.95,12960.9,920879716,49140.99
18-NOV-2020,12948.25,13032.6,12904.15,13022.75,1043099227,48169.2
19-NOV-2020,12931.65,13055.5,12840,12864.85,1009610819,52892.07
20-NOV-2020,12904.7,12992.35,12832.1,12962.45,902734567,51609.15
23-NOV-2020,13062.35,13076,12946.65,13036.65,842348668,50027.77
24-NOV-2020,13110.8,13179.1,13090.1,13158.3,810989180,45672.28
25-NOV-2020,13231.9,13244.8,12935.55,12959.8,1023380383,45734.55
26-NOV-2020,13001.4,13117.05,12900.1,13087.75,805810513,43729.55
27-NOV-2020,13117.1,13146.85,13030.25,13080.3,1665879376,104035.38
01-DEC-2020,13180.2,13244.3,13088.05,13225.7,871453843,41606.09
02-DEC-2020,13243,13254.85,13115.2,13244.35,1132396506,44370.82
03-DEC-2020,13342.75,13342.95,13252.35,13280.5,1078581766,48557.71
04-DEC-2020,13325.1,13415.05,13288.95,13396.5,1016516084,45799.07
07-DEC-2020,13406.35,13508.1,13387.85,13497.85,886105886,41623.7
08-DEC-2020,13536.75,13575.45,13439.3,13529.85,1046678355,43475.15
09-DEC-2020,13597.05,13673.1,13589.85,13649.6,979004023,37218.19
10-DEC-2020,13611.7,13632.85,13519.35,13612.35,832534815,38460.77
11-DEC-2020,13646.2,13707.9,13532.3,13647.9,1131841046,41985.74
14-DEC-2020,13706.2,13731.05,13615.45,13693.2,799294909,34704.65
15-DEC-2020,13685.65,13716.15,13583.55,13697.7,727885170,38248.13
16-DEC-2020,13792.15,13817.75,13735.95,13808.05,908464400,36600.79
17-DEC-2020,13838.9,13890.1,13802.95,13852.55,662385752,34905.35
18-DEC-2020,13877.75,13886.15,13767.45,13872.8,752615100,42934.05
21-DEC-2020,13852.75,13887.4,13214,13431.3,993373733,48203.2
22-DEC-2020,13467.1,13603.6,13272.05,13577.35,1045080971,45405.68
23-DEC-2020,13587.75,13744.1,13544.2,13725.55,805475572,34851.61
24-DEC-2020,13803.15,13882.8,13748.15,13862.1,756316405,31651.55
28-DEC-2020,13930.8,13997,13929.2,13986.7,698820505,27593.89
29-DEC-2020,14028.05,14077.95,13964,14037.65,754411486,31677.25
30-DEC-2020,14086.45,14103.85,13969.8,14088.45,612680345,30439.33
31-DEC-2020,14080.8,14127.6,14048.1,14090.75,801448184,33655.75
01-JAN-2021,14109.05,14166.1,14102.95,14137.55,612252114,21444.81
04-JAN-2021,14226,14282.4,14084.05,14267.05,890944888,36744.94
05-JAN-2021,14212.95,14373.85,14177.2,14355.9,833496981,40859.56
06-JAN-2021,14399.7,14403.05,14191.4,14305.65,1056764771,46716.24
07-JAN-2021,14417.9,14419.35,14290.65,14305.5,836480345,42439.3
08-JAN-2021,14424.8,14533,14393.45,14514.35,886906592,47504.56
11-JAN-2021,14638.8,14653.2,14535.4,14642.05,914650051,48758.61
12-JAN-2021,14632.7,14735.45,14593.35,14705.5,1379546690,55265.54
13-JAN-2021,14782.6,14793.25,14559.3,14694.95,1407169536,55517.58
14-JAN-2021,14688.2,14750,14608.1,14731.15,1001314209,45802.41
15-JAN-2021,14736.5,14760.25,14482.75,14558.8,1153712302,48981.95
18-JAN-2021,14574.15,14579.5,14332.85,14390.05,1074947889,49782.2
19-JAN-2021,14481.15,14653.85,14470.9,14632.2,842802855,41303.13
20-JAN-2021,14652,14771,14631.8,14751.3,944435422,42707.97
21-JAN-2021,14840.95,14860.85,14613.35,14686.55,1064217766,53746.05
22-JAN-2021,14684.35,14725.25,14466.2,14479.6,1161151870,56163.63
25-JAN-2021,14588.2,14602.9,14328.1,14348.45,917258207,51815.8
27-JAN-2021,14349.5,14349.5,14045.15,14085.85,951172188,49351.77
28-JAN-2021,13932.7,14017.8,13846.7,13947.25,1081458517,50159.66
29-JAN-2021,14075.65,14089.4,13704.15,13743.3,1125687575,58336.69
01-FEB-2021,13866.05,14414.6,13762.2,14361.65,1336529984,61730.89
02-FEB-2021,14556,14792,14546.3,14720.55,1372017537,68834.79
03-FEB-2021,14824.25,14931.65,14650.75,14854,1374129689,59516.67
04-FEB-2021,14860.05,14992.5,14806.65,14977.15,1539062227,57819.49
05-FEB-2021,15040.75,15099.25,14938.8,14988.95,1556801120,65045.1
08-FEB-2021,15123.15,15217,15103.7,15177.95,1080009067,49231.76
09-FEB-2021,15228.15,15313.45,15124.8,15171.25,1325218693,52806.94
10-FEB-2021,15184.3,15233.15,15047.65,15176.4,1081016208,51588.94
11-FEB-2021,15146.1,15262.3,15138.2,15249.65,888372953,40613.22
12-FEB-2021,15267.35,15318.85,15163.65,15245.75,1042860960,44503.36
15-FEB-2021,15350.25,15421.9,15326.4,15399.2,850611668,39490.11
16-FEB-2021,15455.4,15513.5,15328.6,15406,1062091069,47238.16
17-FEB-2021,15379.3,15413.9,15275.7,15318.5,1301175206,47675.4
18-FEB-2021,15353.65,15368.8,15210.25,15249.5,1602789504,51535.41
19-FEB-2021,15212.55,15275.4,15017.35,15102.65,1554539091,50675.29
22-FEB-2021,15119.55,15132.5,14758.75,14802.45,1059662954,46481.33
23-FEB-2021,14906,14979.3,14780.15,14844.25,1209769808,49577.15
24-FEB-2021,14876.75,15118.65,14869.65,15094.85,617662356,29219.15
25-FEB-2021,15193.55,15281.25,15177.6,15209,1156997060,52549.79
26-FEB-2021,15005,15045.15,14604.25,14667.6,1629245878,78894.5
01-MAR-2021,14834.5,14932.3,14774.65,14889.65,822993530,37122.29
02-MAR-2021,14993.9,15100.95,14897.9,15061.6,908519565,41844.17
03-MAR-2021,15205.05,15405.7,15147.55,15379.5,981599743,43778.37
04-MAR-2021,15172.3,15352.95,15139.5,15238.75,974013484,45189.08
05-MAR-2021,15139.75,15248.7,15009.2,15084.35,1008799017,46494.9
08-MAR-2021,15151.85,15250.6,15062.35,15096.85,823458690,35471.36
09-MAR-2021,15189.6,15252,15043.1,15206,908373546,44664.95
10-MAR-2021,15309.1,15327,15209.65,15284.85,588163053,31290.39
12-MAR-2021,15426.55,15438.5,15071.15,15140.15,756551758,39322.88
15-MAR-2021,15163.25,15165.4,14856.3,15040.85,747035263,34234.75
16-MAR-2021,15107.8,15159.1,15009.8,15033.3,702151434,33634.86
17-MAR-2021,15066.45,15074.8,14805.75,14828.85,747659540,36047.4
18-MAR-2021,14959.05,14977.45,14581.95,14662.5,851112777,38439.09
19-MAR-2021,14573.3,14886.95,14434.1,14847.25,1310491137,58031.17
22-MAR-2021,14850.75,14885.65,14729.45,14859.7,720614069,34824.12
23-MAR-2021,14898.3,15011.05,14849.15,14952.1,787545946,38355.41
24-MAR-2021,14853.2,14902.65,14676.35,14690.05,747133448,34604.19
25-MAR-2021,14713.35,14717.6,14393.5,14450.55,988633587,42794.14
26-MAR-2021,14624.9,14692.75,14539.25,14633.5,733437391,35844.02
30-MAR-2021,14755.6,14977.95,14745.95,14936.05,929210121,44011.52
31-MAR-2021,14913,14913.7,14787.6,14807.45,911009335,37658
01-APR-2021,14912.25,15008.95,14813.65,14993.05,742190182,36675.52
05-APR-2021,14970.2,14975.65,14596.95,14775.7,831267656,42825.66
06-APR-2021,14870.75,14922.3,14719.4,14836.25,749253329,40523.44
07-APR-2021,14869.85,15019.75,14810.45,14973.95,803884513,45593.91
08-APR-2021,15030.05,15139.95,14984.35,15036.15,772606850,43203.18
09-APR-2021,15045.2,15081.9,14957.6,15004.15,826843514,45555.3
12-APR-2021,14805.95,14812,14390.1,14450.05,1137902555,54704.7
13-APR-2021,14501.85,14660.2,14415.9,14639.4,975320329,49630.25
15-APR-2021,14655.75,14735.9,14487.95,14719.25,877636182,48634.46
16-APR-2021,14741.8,14850.15,14705.6,14773.2,886688463,45641.94
19-APR-2021,14459,14535.55,14346.1,14512.85,843149579,43975.08
20-APR-2021,14680.15,14688.15,14373.95,14466.8,847757494,47158.44
22-APR-2021,14395.9,14581.75,14329.6,14564.25,836096230,46781.16
23-APR-2021,14492.2,14625.1,14439.9,14510.95,867001032,41714.33
26-APR-2021,14618.9,14711.15,14590.45,14645.9,739918127,41865.08
27-APR-2021,14662.5,14822.95,14652.85,14807.75,800727612,39945.91
28-APR-2021,14871.45,15030.45,14855.55,15004.65,764221799,45537.24
29-APR-2021,15117.4,15178.85,14954.05,15029.95,916664652,49088.06
30-APR-2021,14891.25,15005.4,14760.3,14790.6,968975515,49141.81
03-MAY-2021,14645.6,14845.1,14583.35,14811.2,945255952,40980.55
04-MAY-2021,14871.9,14904.6,14647.65,14683.7,1181183721,43617.72
05-MAY-2021,14793,14843.3,14698.95,14823.2,940480821,43598.08
06-MAY-2021,14878.6,14947.15,14817.65,14928.6,869186165,40752.16
07-MAY-2021,15023,15060.15,14968.3,15021.65,940441644,43877.03
10-MAY-2021,15123.35,15167.45,15091.4,15146.65,1037003290,43031.04
11-MAY-2021,15003.2,15115.95,14978.05,15071.4,1188822781,43219.39
12-MAY-2021,15060.95,15062.15,14891.1,14940,1385613965,46940.2
14-MAY-2021,14996.9,14996.95,14809,14893.2,1101425495,51015.16
17-MAY-2021,14973.2,15148.5,14936.8,15134.15,907196071,44840.14
18-MAY-2021,15281.7,15348.3,15258.7,15325,907470425,45411.75
19-MAY-2021,15288,15366.2,15250.2,15272.55,950136752,41453.51
20-MAY-2021,15288.75,15317.05,15142.45,15164.45,1038277455,38441.08
21-MAY-2021,15252.95,15422.8,15246.9,15408.55,1024473811,42864.47
24-MAY-2021,15448.15,15498,15392.4,15445.2,1318883886,43336.47
25-MAY-2021,15543.1,15544.9,15401.5,15445.6,828675969,36291.77
26-MAY-2021,15494.85,15541.35,15425.4,15522.35,775665827,34637.52
27-MAY-2021,15552.65,15604.5,15500.55,15564.35,1707297507,74196.6
28-MAY-2021,15646.6,15690.5,15620.05,15650.35,994998846,41295.85
31-MAY-2021,15659.95,15822.35,15600.6,15798.7,902872946,41865.14
01-JUN-2021,15848,15875.15,15735.4,15789.4,748710543,35690.19
