Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
12-OCT-2020,21990.85,22320,21845.05,22202.1,90153508,7361.86
13-OCT-2020,22230.2,22619,22186.05,22492.6,90615095,8466.58
14-OCT-2020,22475.85,22490.3,22129.95,22204.05,123239708,9449.69
15-OCT-2020,22473.65,22570.5,21364.15,21567.3,119880829,11432.52
16-OCT-2020,21638.25,21908.8,21247.55,21538.15,98056445,9440.69
19-OCT-2020,21683.8,21683.8,21354.9,21391.9,55459980,5595.51
20-OCT-2020,21397.5,21779.8,21346.05,21694.35,64738566,6158.36
21-OCT-2020,21757.05,21892.3,21406.1,21577.65,55941908,6323.15
22-OCT-2020,21480.7,21767.05,21290.45,21413.5,44440236,5093.12
23-OCT-2020,21546.65,21621.6,21385.15,21523.6,39000789,4523.81
26-OCT-2020,21493.3,21595.8,21148.65,21265.7,43358188,5106.6
27-OCT-2020,21287.1,21371.6,20932.7,21023.4,39067556,4152.51
28-OCT-2020,21121.9,21194.75,20701,20810.3,36566855,3750.74
29-OCT-2020,20667.7,20961.05,20548.3,20876.95,33439686,3503.98
30-OCT-2020,20912.95,21197.3,20797.5,20916.85,42683520,4449.38
02-NOV-2020,20964.15,21012.45,20669.35,20732.3,26957480,2890.46
03-NOV-2020,20792.25,21017.95,20679.65,20736,28716284,3096.76
04-NOV-2020,20769.9,21468.45,20765.8,21104.55,54323194,5479.32
05-NOV-2020,21383.7,21596,21284.6,21385.65,32997884,3534.75
06-NOV-2020,21435.15,21582.2,21251.55,21492.25,30195591,3553.91
09-NOV-2020,21751.65,21926.9,21620.55,21820.15,35832369,4058.85
10-NOV-2020,21633.1,21633.1,20862.7,20978.5,50745235,5547.25
11-NOV-2020,21029.25,21365.65,20967.8,21330.45,42104118,4562.05
12-NOV-2020,21380.2,21610.05,21291.7,21363.35,27527225,3254.06
13-NOV-2020,21305.35,21462,21219.8,21436.85,22913760,2768.73
14-NOV-2020,21604.4,21618.9,21532.85,21552.75,3183435,380.43
17-NOV-2020,21704.05,21706.2,21361.45,21488.55,34794218,3919.65
18-NOV-2020,21519.15,21557.1,21153.85,21314.85,31269752,3530.41
19-NOV-2020,21285.75,21451.8,21070.25,21114.45,40370055,4203.33
20-NOV-2020,21275.35,21500.65,21121.75,21409.25,34638255,3984.13
23-NOV-2020,21551.85,22047.05,21432.65,22007.05,41566212,4511.42
24-NOV-2020,22099.6,22281.85,22016.95,22064.3,42113721,4507.75
25-NOV-2020,22087.9,22132.9,21675.9,21705.9,31668960,3567.25
26-NOV-2020,21717.4,21919.15,21544.05,21859.9,36603487,3821.18
27-NOV-2020,21879.15,21972.95,21701.3,21764.9,81455555,10072.82
01-DEC-2020,21921.1,22216.45,21814.4,22170.85,39814571,4251.33
02-DEC-2020,22149.35,22371.55,21961.45,22319,33714679,3523.85
03-DEC-2020,22458.75,22458.8,22147.3,22202.2,48113295,5042.55
04-DEC-2020,22222.25,22347.85,22130.3,22309.8,32350317,3463.76
07-DEC-2020,22333.3,22482.9,22271,22440.85,29577790,3054.15
08-DEC-2020,22484.35,22737.95,22387.35,22617.35,44052151,4713.69
09-DEC-2020,22799.95,22895.5,22720.5,22803.45,44630681,4444.48
10-DEC-2020,22693.95,22809.55,22606.6,22755.75,28045567,3313.97
11-DEC-2020,22754.5,22901.75,22541.1,22664,28151650,3252.5
14-DEC-2020,22786,22792.45,22487.3,22746.7,30545890,3093.19
15-DEC-2020,22656.35,22779.7,22608.35,22715.1,29851045,3302.35
16-DEC-2020,22830.4,22933.8,22701.55,22906.25,26638272,3089.55
17-DEC-2020,22913.15,22960.5,22835.4,22892.25,23025731,2834.34
18-DEC-2020,23173.15,23416.5,23148.5,23256.55,61323723,6918.71
21-DEC-2020,23233.5,23506.7,22458.15,22844.6,40599903,4590.99
22-DEC-2020,22921.85,23680.9,22745.25,23611.6,43271885,5076
23-DEC-2020,23787.8,24228.8,23758.4,24167.75,87281899,7556.9
24-DEC-2020,24163.2,24163.2,23828.05,24009.25,31508625,3242.9
28-DEC-2020,24065.4,24192.05,24037.8,24100.3,19567634,2444.98
29-DEC-2020,24093.05,24424.2,24090.3,24274.05,33910797,3559.93
30-DEC-2020,24312.5,24394.75,24176.25,24330.05,29975991,3511.07
31-DEC-2020,24255.95,24295.2,24137.8,24251.35,26258458,3508.31
01-JAN-2021,24300.2,24500.7,24288.95,24456.1,17779240,2294.67
04-JAN-2021,24612.05,25158.85,24508.95,25110.05,33792678,4543.01
05-JAN-2021,25057.65,25824.15,25029.85,25769.15,55878856,7048.19
06-JAN-2021,25841.3,26036.7,25240.5,25419.15,51057329,7002.49
07-JAN-2021,25692.05,25702.3,25131.9,25251.2,38376609,4789.15
08-JAN-2021,25558.3,26227.5,25523.75,26162.4,81064961,8109.53
11-JAN-2021,26703.2,27095.75,26528,27027.7,100770331,10975.03
12-JAN-2021,27008,27127.25,26805,26982.1,47671229,5198.91
13-JAN-2021,27077.7,27103.9,26737.4,27004.3,60855167,6389.72
14-JAN-2021,26804.65,27176.5,26245.1,26965.55,128928435,12040.54
15-JAN-2021,26939.7,27037.65,26301.4,26362.8,76562944,8235.91
18-JAN-2021,26395.6,26423.6,25830.4,25916.25,54386289,5825.19
19-JAN-2021,26080.1,26254.05,25987.3,26043.5,41616547,5021.83
20-JAN-2021,26147.2,26758.1,26142.95,26619.7,54117134,6173.06
21-JAN-2021,26808.5,26872.95,26321.8,26450.15,41366484,4783.46
22-JAN-2021,26316.55,26667.55,26292.8,26489.75,36897218,4679.86
25-JAN-2021,26607.65,26685.8,25911.8,26023.3,29150368,3798.9
27-JAN-2021,26073.1,26236.55,25628.7,25865.3,58662059,5924.81
28-JAN-2021,25639.9,25807.65,25239.7,25301.25,36644329,4119.2
29-JAN-2021,25516.8,25539.85,24559.65,24645.75,49103602,6103.56
01-FEB-2021,24709.25,25139.15,24308.9,24922.7,45600862,5274.31
02-FEB-2021,25277.45,25574.75,25107.2,25447.8,38519659,4485.85
03-FEB-2021,25590.05,25949.7,25341.4,25680.9,35527910,4303.03
04-FEB-2021,25749.7,25862.5,25505.25,25570.05,24592164,2891.04
05-FEB-2021,25689.7,25733.5,25188.4,25331.6,26422594,3130.85
08-FEB-2021,25588.5,26028,25415.95,25915.6,34877611,4123.31
09-FEB-2021,25933.8,26301.2,25659.9,25779.15,52454589,4762.58
10-FEB-2021,25779.9,25941.05,25570.2,25885.3,28434550,3383.28
11-FEB-2021,25860.85,26080.15,25795.85,26043.45,23498725,2871.98
12-FEB-2021,26111.8,26455.05,26012.25,26093.8,43820995,4555.66
15-FEB-2021,26243.1,26279.3,25959.1,26001.1,23623028,3111.8
16-FEB-2021,26130.4,26167.85,25519.95,25613.95,32987890,4410.27
17-FEB-2021,25610.4,25672.25,25234.7,25282.95,24272603,3662.46
18-FEB-2021,25270.95,25686.85,25262.65,25618.55,34277793,5011.73
19-FEB-2021,25634.95,25676,25292.65,25503.2,29205317,3797.12
22-FEB-2021,25579.75,25617.35,24646.45,24766.45,36356027,4639.88
23-FEB-2021,24933.7,25199.6,24709.15,24807.8,32326536,4132.38
24-FEB-2021,24814.55,24872.35,24518.7,24779.4,19719480,2748.24
25-FEB-2021,24979,25199.8,24830.7,24872.45,34541172,4399.08
26-FEB-2021,24611.2,24689,24212.8,24301.45,49174264,6004.92
01-MAR-2021,24494.65,24846.1,24451.45,24556.3,25641372,3173.06
02-MAR-2021,24809.7,25435.4,24770.35,25301.85,42230950,4777.1
03-MAR-2021,25582.6,25814.9,25331.4,25772.65,32585369,4155.8
04-MAR-2021,25471.7,25981.35,25450.45,25631.85,42359900,5013.42
05-MAR-2021,25504.7,25697.75,25113.45,25229.6,63968631,4940.45
08-MAR-2021,25368.2,25549.3,25259.6,25347.95,29238682,2964.82
09-MAR-2021,25388.8,25685.8,25095.35,25582.35,30482012,3272.87
10-MAR-2021,25862.05,26136.55,25782.3,26010.1,47971930,5797.36
12-MAR-2021,26060.45,26298,25819.9,25888.25,35857981,4665.99
15-MAR-2021,25859.15,26094.15,25651.8,26032.05,31478061,4175.04
16-MAR-2021,26132.45,26602.65,26111.1,26363.85,44088850,6121.16
17-MAR-2021,26378.2,26657.1,26113.75,26183.5,38015477,4859.28
18-MAR-2021,26365.9,26395.95,25012.5,25373.35,40402830,5281.54
19-MAR-2021,25273.35,25687.4,25028.3,25562.75,54715492,6789.87
22-MAR-2021,25649.05,26102.8,25418.45,26035.35,25130277,3292.81
23-MAR-2021,26105.7,26315.8,25928,26105.7,33122024,4049.75
24-MAR-2021,25863.55,26114.6,25738.15,25802.95,22470083,2993.16
25-MAR-2021,25739.8,25766,25131.4,25237.1,36110700,4317.04
26-MAR-2021,25475.3,25687.05,25276.6,25385.1,26610338,3384.97
30-MAR-2021,25531.1,26306.65,25429.2,26121.1,44184835,6165.42
31-MAR-2021,26130.6,26130.6,25788,25855,31180056,4223.94
01-APR-2021,26039.85,26289.1,25855.35,25980.4,29072530,4024.86
05-APR-2021,26035.5,26630.8,25978.95,26491.35,53479113,6179.06
06-APR-2021,26715.2,26715.2,26403.45,26532.2,25011660,3124.22
07-APR-2021,26514.95,26899.2,26401.7,26831,32623394,3853.11
08-APR-2021,26899.5,27413.55,26845.85,27148.4,36484578,4382.76
09-APR-2021,27322.05,27520.1,27109.95,27367.05,32980829,4078.17
12-APR-2021,27504.4,27524.6,26545.65,26727.8,56753707,7160.44
13-APR-2021,26737.7,26759.2,25513.4,25851.3,62448168,8082.04
15-APR-2021,25577,26084.15,25293.3,26010.85,73991194,8615.36
16-APR-2021,26183.45,26476.65,26131.2,26324.9,134399907,9255.35
19-APR-2021,26012.4,26524.65,25875.9,26236.9,74233445,6903.33
20-APR-2021,26495.6,26496.5,25736.45,25877.6,45883460,4978.81
22-APR-2021,25902.6,26055,25718.6,25826.7,64034460,5194.39
23-APR-2021,25746.45,25926.05,25531.95,25609.1,34728218,3627.41
26-APR-2021,25633.1,25887.1,25521.2,25680.3,46280498,5070.53
27-APR-2021,25737.2,25871.45,25686.95,25815.75,30946938,3333.59
28-APR-2021,25952.65,25992.5,25781.15,25962.1,28351950,3163.75
29-APR-2021,26162.2,26162.2,25827.15,25874.3,27893383,3138.41
30-APR-2021,25777.75,26154.3,25593.9,25664.45,56502891,5318.49
03-MAY-2021,25544.85,25785.6,25427.9,25676.05,26285477,2769.6
04-MAY-2021,25783.2,25801.25,25398.95,25489,26912368,3031.06
05-MAY-2021,25670.55,25857.65,25564.6,25786.95,25181933,2697.73
06-MAY-2021,25868.25,26387.65,25639.6,26258.7,53487823,6744.77
07-MAY-2021,26378.8,26454.1,26180.25,26269.45,32676536,4219.22
10-MAY-2021,26340.6,26390.8,26106.35,26273.45,32522417,4244.57
11-MAY-2021,26098.9,26146.5,25968.1,26106.7,26237514,3784.42
12-MAY-2021,26105.2,26105.2,25728.45,25855.45,24614235,3029.75
14-MAY-2021,25896.2,25901.2,25461.95,25588.2,23038339,2794.84
17-MAY-2021,25650.45,25770.5,25499.45,25703.55,26460562,3480.07
18-MAY-2021,25898.9,26094.1,25840.55,25958.25,28299869,3531.09
19-MAY-2021,25949.55,26262.7,25869.65,25982.8,25688917,3870.72
20-MAY-2021,26075.4,26118.25,25821.55,25894.45,22202793,3014.93
21-MAY-2021,26012.85,26154,25936.6,26105.3,20573324,2773.91
24-MAY-2021,26150.6,26298.55,26095.4,26144.2,21461869,2586.38
25-MAY-2021,26275.45,26550.55,26241.15,26393.9,24306425,2956.01
26-MAY-2021,26450.7,26905.75,26380.5,26857.3,27973435,3641.07
27-MAY-2021,26921.8,27350.25,26916.85,27164.8,73540052,9149.88
28-MAY-2021,27238.1,27278.7,27041.9,27122.8,21385663,3004.98
31-MAY-2021,27144.1,27203.9,26886.8,27115.05,19986845,2687.03
01-JUN-2021,27216.75,27254.15,26953.5,27144.4,17949538,2288.11
